rank,player_id,value
1,jacksja02,2.3
2,williro04,2.2
3,goberru01,2.1
4,robinmi01,1.8
5,poeltja01,1.7
6,mobleev01,1.7
7,bambamo01,1.7
8,whiteha01,1.6
9,embiijo01,1.5
10,gaffoda01,1.4
11,antetgi01,1.4
12,horfoal01,1.3
13,covinro01,1.3
14,capelca01,1.3
15,harteis01,1.1
16,townska01,1.1
17,stewais01,1.1
18,mcgeeja01,1.1
19,thybuma01,1.1
20,clarkbr01,1.1
