rank,player_id,value
1,jokicni01,1019.0
2,goberru01,968.0
3,capelca01,877.0
4,valanjo01,843.0
5,vucevni01,804.0
6,embiijo01,796.0
7,antetgi01,778.0
8,adamsst01,760.0
9,sabondo01,752.0
10,townska01,727.0
11,randlju01,716.0
12,woodch01,686.0
13,drumman01,680.0
14,portibo01,657.0
15,cartewe01,648.0
16,zubaciv01,644.0
17,poeltja01,634.0
18,vandeja01,624.0
19,nurkiju01,619.0
20,robinmi01,617.0
21,stewais01,617.0
