rank,player_id,value
1,tatumja01,1564.0
2,youngtr01,1544.0
3,derozde01,1535.0
4,bookede01,1421.0
5,doncilu01,1403.0
6,mitchdo01,1376.0
7,embiijo01,1334.0
8,jokicni01,1311.0
9,ballla01,1254.0
10,randlju01,1246.0
11,antetgi01,1245.0
12,edwaran01,1245.0
13,murrade01,1241.0
14,westbru01,1233.0
15,curryst01,1224.0
16,jacksre01,1222.0
17,jamesle01,1221.0
18,brownja02,1217.0
19,bridgmi02,1214.0
20,townska01,1214.0
