game_code,game_date,game_time,home_code,home_name,home_link,away_code,away_name,away_link,arena
WAS-NYK-=1132023,=1-13-2023,7:00p,WAS,Washington Wizards,/teams/WAS/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,Capital One Arena
SAS-GSW-=1132023,=1-13-2023,7:30p,SAS,San Antonio Spurs,/teams/SAS/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,AT&T Center
CHI-OKC-=1132023,=1-13-2023,8:00p,CHI,Chicago Bulls,/teams/CHI/2023.html,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,United Center
MIN-PHO-=1132023,=1-13-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,PHO,Phoenix Suns,/teams/PHO/2023.html,Target Center
UTA-ORL-=1132023,=1-13-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,Vivint Arena
LAC-DEN-=1132023,=1-13-2023,10:00p,LAC,Los Angeles Clippers,/teams/LAC/2023.html,DEN,Denver Nuggets,/teams/DEN/2023.html,Crypto.com Arena
SAC-HOU-=1132023,=1-13-2023,10:00p,SAC,Sacramento Kings,/teams/SAC/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,Golden 1 Center
MIA-MIL-=1142023,=1-14-2023,1:00p,MIA,Miami Heat,/teams/MIA/2023.html,MIL,Milwaukee Bucks,/teams/MIL/2023.html,FTX Arena
CHO-BOS-=1142023,=1-14-2023,7:00p,CHO,Charlotte Hornets,/teams/CHO/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,Spectrum Center
IND-MEM-=1142023,=1-14-2023,7:00p,IND,Indiana Pacers,/teams/IND/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Gainbridge Fieldhouse
TOR-ATL-=1142023,=1-14-2023,7:30p,TOR,Toronto Raptors,/teams/TOR/2023.html,ATL,Atlanta Hawks,/teams/ATL/2023.html,Scotiabank Arena
MIN-CLE-=1142023,=1-14-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,Target Center
UTA-PHI-=1142023,=1-14-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,Vivint Arena
POR-DAL-=1142023,=1-14-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,DAL,Dallas Mavericks,/teams/DAL/2023.html,Moda Center
DET-NYK-=1152023,=1-15-2023,1:00p,DET,Detroit Pistons,/teams/DET/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,Little Caesars Arena
