game_code,game_date,game_time,home_code,home_name,home_link,away_code,away_name,away_link,arena
POR-TOR-=1282023,=1-28-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Moda Center
CHO-MIA-=1292023,=1-29-2023,1:00p,CHO,Charlotte Hornets,/teams/CHO/2023.html,MIA,Miami Heat,/teams/MIA/2023.html,Spectrum Center
MEM-IND-=1292023,=1-29-2023,6:00p,MEM,Memphis Grizzlies,/teams/MEM/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,FedEx Forum
CLE-LAC-=1292023,=1-29-2023,7:00p,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,Rocket Mortgage Fieldhouse
MIL-NOP-=1292023,=1-29-2023,8:00p,MIL,Milwaukee Bucks,/teams/MIL/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,Fiserv Forum
PHI-ORL-=1302023,=1-30-2023,7:00p,PHI,Philadelphia 76ers,/teams/PHI/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,Wells Fargo Center
BRK-LAL-=1302023,=1-30-2023,7:30p,BRK,Brooklyn Nets,/teams/BRK/2023.html,LAL,Los Angeles Lakers,/teams/LAL/2023.html,Barclays Center
MIN-SAC-=1302023,=1-30-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,SAC,Sacramento Kings,/teams/SAC/2023.html,Target Center
OKC-GSW-=1302023,=1-30-2023,8:00p,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,Paycom Center
SAS-WAS-=1302023,=1-30-2023,8:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,AT&T Center
DAL-DET-=1302023,=1-30-2023,8:30p,DAL,Dallas Mavericks,/teams/DAL/2023.html,DET,Detroit Pistons,/teams/DET/2023.html,American Airlines Center
PHO-TOR-=1302023,=1-30-2023,9:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Footprint Center
POR-ATL-=1302023,=1-30-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,ATL,Atlanta Hawks,/teams/ATL/2023.html,Moda Center
CLE-MIA-=1312023,=1-31-2023,7:00p,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,MIA,Miami Heat,/teams/MIA/2023.html,Rocket Mortgage Fieldhouse
